image,ground_truth,prediction,CER_score
test001_1.jpg,B9140BCD,BS140BCD,0.125
test001_2.jpg,B2407UZO,B2407UZ0,0.125
test001_3.jpg,B2842PKM,B2842PKM,0.0
test002_1.jpg,BG1352AE,BG1352AE,0.0
test003_1.jpg,B2634UZF,B2634UZF,0.0
test003_2.jpg,B1995JVK,B1995JVKG128,0.5
test004_1.jpg,B9062VEH,890621EH,0.25
test005_1.jpg,DD3798KM,2798,0.625
test006_1.jpg,T1329KC,T1329KC,0.0
test007_1.jpg,AD8865EE,AD8865EE,0.0
test008_1.jpg,DK1157AAB,DK1157AAB,0.0
test008_2.jpg,AA1997FE,AA1997FE,0.0
test009_1.jpg,H8518NA,H8518NA,0.0
test009_2.jpg,K1649GB,K1649GB,0.0
test010_1.jpg,B9416PCN,B9416PCN,0.0
test010_2.jpg,H1147UY,H1147UY,0.0
test011_1.jpg,H1691IL,H1691IL,0.0
test011_2.jpg,B9374RI,B9374RI,0.0
test011_3.jpg,D1204AIG,D1204AIG,0.0
test012_1.jpg,E1887BA,E1887BA,0.0
test013_1.jpg,B1439UZP,B1439UZP,0.0
test013_2.jpg,B1128WOS,B1128W0S,0.125
test014_1.jpg,B1388DFX,B1388DFX,0.0
test015_1.jpg,AD1798BT,AD1798BT,0.0
test016_1.jpg,E1517DO,E1517DO,0.0
test017_1.jpg,AD8982FS,AD8982FS,0.0
test018_1.jpg,L7603UA,L7603UA,0.0
test019_1.jpg,AD7HS,AD7HS,0.0
test019_2.jpg,B1959WYK,B1959WYK,0.0
test020_1.jpg,AG8634EK,AG8634EK,0.0
test020_2.jpg,AD1328PY,AD1328PY,0.0
